YYYY,MM,DD,hh,mm,ss,Q_AR_TR_sum (m^3/s)
1961,8,25,0,0,0,556.708288
1961,8,26,0,0,0,548.779584
1961,8,27,0,0,0,541.417216
1961,8,28,0,0,0,515.648928
1961,8,29,0,0,0,566.902336
1961,8,30,0,0,0,529.807328
1961,8,31,0,0,0,504.888544
1961,9,1,0,0,0,514.233088
1961,9,2,0,0,0,538.868704
1961,9,3,0,0,0,1217.6224
1961,9,4,0,0,0,1429.9984
1961,9,5,0,0,0,1186.757088
1961,9,6,0,0,0,1082.834432
1961,9,7,0,0,0,910.668288
1961,9,8,0,0,0,794.003072
1961,9,9,0,0,0,666.577472
1961,9,10,0,0,0,676.205184
1961,9,11,0,0,0,634.013152
1961,9,12,0,0,0,607.678528
1961,9,13,0,0,0,540.001376
1961,9,14,0,0,0,582.476576
1961,9,15,0,0,0,547.646912
1961,9,16,0,0,0,488.747968
1961,9,17,0,0,0,464.678688
1961,9,18,0,0,0,471.757888
1961,9,19,0,0,0,477.704416
1961,9,20,0,0,0,453.635136
1961,9,21,0,0,0,427.866848
1961,9,22,0,0,0,431.264864
1961,9,23,0,0,0,455.90048
1961,9,24,0,0,0,477.987584
1961,9,25,0,0,0,441.175744
1961,9,26,0,0,0,440.892576
1961,9,27,0,0,0,442.025248
1961,9,28,0,0,0,436.928224
1961,9,29,0,0,0,382.843136
1961,9,30,0,0,0,363.304544
1961,10,1,0,0,0,356.508512
1961,10,2,0,0,0,441.175744
1961,10,3,0,0,0,436.928224
1961,10,4,0,0,0,377.179776
1961,10,5,0,0,0,366.985728
1961,10,6,0,0,0,370.100576
1961,10,7,0,0,0,405.496576
1961,10,8,0,0,0,418.805472
1961,10,9,0,0,0,405.213408
1961,10,10,0,0,0,415.973792
1961,10,11,0,0,0,370.100576
1961,10,12,0,0,0,380.577792
1961,10,13,0,0,0,343.765952
1961,10,14,0,0,0,384.825312
1961,10,15,0,0,0,360.189696
1961,10,16,0,0,0,375.480768
1961,10,17,0,0,0,386.807488
1961,10,18,0,0,0,341.783776
1961,10,19,0,0,0,338.102592
1961,10,20,0,0,0,298.175904
1961,10,21,0,0,0,314.31648
1961,10,22,0,0,0,319.97984
1961,10,23,0,0,0,316.015488
1961,10,24,0,0,0,346.597632
1961,10,25,0,0,0,322.245184
1961,10,26,0,0,0,313.183808
1961,10,27,0,0,0,281.468992
1961,10,28,0,0,0,330.457056
1961,10,29,0,0,0,342.63328
1961,10,30,0,0,0,352.54416
