,YYYY,MM,T,S,O,Q,time,longitude,latitude,slhf,ssr,sshf,str,u10,v10,t2m
96,2018,1,9.8276,23.2989,11.0155,835.099,1/1/2018,-88,30.25,-12380119,10993164,-5666837.5,-7682069.5,-2.2123213,-2.5900607,283.8293
97,2018,2,16.8987,14.2111,9.0741,3847.2519,2/1/2018,-88,30.25,-2199602,12075462,37092,-3522209,-2.3038814,1.6918806,291.028
98,2018,3,20.1805,12.1144,8.3092,2827.4782,3/1/2018,-88,30.25,-10145608,17810222,-1473969.5,-7364083.5,0.1263676,0.024133056,290.7353
99,2018,4,23.3887,13.4858,7.4588,2931.3551,4/1/2018,-88,30.25,-9405449,20946546,-1233261.2,-6897647.5,0.5071355,-0.12173541,292.3804
100,2018,5,28.2106,13.7312,6.4768,1161.7013,5/1/2018,-88,30.25,-8385706.5,23038878,-673134.25,-6097516.5,-0.025866311,1.5012776,298.3183
101,2018,6,29.8802,15.4856,6.3897,1236.6419,6/1/2018,-88,30.25,-9406888,21821024,-628745,-4836115.5,2.2261457,1.9698008,300.92328
102,2018,7,30.1444,19.5838,6.2258,675.31,7/1/2018,-88,30.25,-9650490,19828662,-856945,-4650026,1.6013396,0.6984349,301.27136
103,2018,8,29.8818,21.5646,6.142,623.81,8/1/2018,-88,30.25,-10217933,18197882,-1032518.5,-4672694,-0.07176843,1.9425069,300.75317
104,2018,9,29.6176,19.4484,6.1352,700.7653,9/1/2018,-88,30.25,-10108546,16223451,-1095212.5,-4598258.5,-1.4811834,1.9604009,300.69748
105,2018,10,25.6391,22.8966,6.9735,530.1088,10/1/2018,-88,30.25,-15343634,14680146,-1750982,-6164888,-2.388971,-0.61494744,298.02042
106,2018,11,17.6709,19.1792,8.904,1670.1815,11/1/2018,-88,30.25,-15039942,10102660,-4399840,-6851889.5,0.046283044,-1.2610495,290.6154
107,2018,12,14.6575,14.0718,9.7616,3735.7167,12/1/2018,-88,30.25,-7881232.5,8063030.5,-2045689.5,-5256688,-0.26624206,-0.05774808,288.60956
108,2019,1,13.338,6.9197,9.9139,5750.594,1/1/2019,-88,30.25,-8997048,10917371,-2697798,-6672232,0.24551779,-1.0126882,286.4391
109,2019,2,15.1412,11.2303,9.2934,3864.4341,2/1/2019,-88,30.25,-3821331,10378124,-92719.5,-3042699.5,-1.86012,0.9543842,289.7836
110,2019,3,16.4574,6.9353,7.2889,4792.2987,3/1/2019,-88,30.25,-8142824.5,16648328,-1789422.2,-6007898.5,-0.85906315,-0.66636384,289.20734
